week_start,region,campaign,spend,impressions,clicks
2026-08-17,East Region,Email Re-engagement,1493,355476,10375
2026-08-17,East Region,Display Prospecting,982,233809,7549
2026-08-17,North Region,Always-on Search,5130,1221428,31205
2026-08-17,North Region,Social Retargeting,3135,746428,27361
2026-08-17,North Region,Email Re-engagement,1584,377142,9550
2026-08-17,North Region,Display Prospecting,965,229761,6542
2026-08-24,East Region,Always-on Search,5096,1213333,25772
2026-08-24,East Region,Social Retargeting,3243,772142,15197
2026-08-24,East Region,Email Re-engagement,1657,394523,10242
2026-08-24,East Region,Display Prospecting,981,233571,6187
2026-08-24,North Region,Always-on Search,4590,1092857,27484
2026-08-24,North Region,Social Retargeting,3138,747142,18683
2026-08-24,North Region,Email Re-engagement,1465,348809,9702
2026-08-24,North Region,Display Prospecting,993,236428,7208
2025-09-08,East Region,Always-on Search,4702,1119523,32195
2025-09-08,East Region,Social Retargeting,3158,751904,24344
2025-09-08,East Region,Email Re-engagement,1444,343809,9798
2025-09-08,East Region,Display Prospecting,1037,246904,6547
2025-09-08,North Region,Always-on Search,4680,1114285,33583
2025-09-08,North Region,Social Retargeting,3110,740476,19993
2025-09-08,North Region,Email Re-engagement,1476,351428,11320
2025-09-08,North Region,Display Prospecting,1042,248095,6638
2025-09-15,East Region,Always-on Search,4820,1147619,28798
2025-09-15,East Region,Social Retargeting,3045,725000,18744
2025-09-15,East Region,Email Re-engagement,1376,327619,9374
2025-09-15,East Region,Display Prospecting,1067,254047,7381
2025-09-15,North Region,Always-on Search,4628,1101904,22796
2025-09-15,North Region,Social Retargeting,2867,682619,18692
2025-09-15,North Region,Email Re-engagement,1504,358095,9606
2025-09-15,North Region,Display Prospecting,972,231428,7034
2025-09-22,East Region,Always-on Search,4773,1136428,25997
2025-09-22,East Region,Social Retargeting,3347,796904,22525
2025-09-22,East Region,Email Re-engagement,1509,359285,9781
2025-09-22,East Region,Display Prospecting,912,217142,6965
2025-09-22,North Region,Always-on Search,4596,1094285,26503
2025-09-22,North Region,Social Retargeting,3091,735952,20855
2025-09-22,North Region,Email Re-engagement,1555,370238,11039
2025-09-22,North Region,Display Prospecting,1076,256190,8319
2025-09-29,East Region,Always-on Search,4567,1087380,34819
2025-09-29,East Region,Social Retargeting,3059,728333,18896
2025-09-29,East Region,Email Re-engagement,1568,373333,9696
2025-09-29,East Region,Display Prospecting,939,223571,7400
2025-09-29,North Region,Always-on Search,4477,1065952,36055
2025-09-29,North Region,Social Retargeting,2933,698333,24053
2025-09-29,North Region,Email Re-engagement,1704,405714,12018
2025-09-29,North Region,Display Prospecting,1005,239285,6499
2025-10-06,East Region,Always-on Search,4398,1047142,26793
2025-10-06,East Region,Social Retargeting,3004,715238,17457
2025-10-06,East Region,Email Re-engagement,1532,364761,11102
2025-10-06,East Region,Display Prospecting,1146,272857,8774
2025-10-06,North Region,Always-on Search,5061,1205000,37926
2025-10-06,North Region,Social Retargeting,3024,720000,19543
2025-10-06,North Region,Email Re-engagement,1461,347857,10067
2025-10-06,North Region,Display Prospecting,1036,246666,7041
2025-10-13,East Region,Always-on Search,4852,1155238,29054
2025-10-13,East Region,Social Retargeting,3038,723333,22827
2025-10-13,East Region,Email Re-engagement,1562,371904,9003
2025-10-13,East Region,Display Prospecting,1012,240952,7008
2025-10-13,North Region,Always-on Search,4861,1157380,26554
2025-10-13,North Region,Social Retargeting,2958,704285,18669
2025-10-13,North Region,Email Re-engagement,1480,352380,7556
2025-10-13,North Region,Display Prospecting,965,229761,6550
2025-10-20,East Region,Always-on Search,4674,1112857,31479
2025-10-20,East Region,Social Retargeting,3180,757142,18560
2025-10-20,East Region,Email Re-engagement,1523,362619,9567
2025-10-20,East Region,Display Prospecting,977,232619,5989
2025-10-20,North Region,Always-on Search,4553,1084047,31047
2025-10-20,North Region,Social Retargeting,2884,686666,17221
2025-10-20,North Region,Email Re-engagement,1555,370238,11453
2025-10-20,North Region,Display Prospecting,970,230952,5719
2025-10-27,East Region,Always-on Search,4787,1139761,37360
2025-10-27,East Region,Social Retargeting,3153,750714,20768
2025-10-27,East Region,Email Re-engagement,1510,359523,10697
2025-10-27,East Region,Display Prospecting,998,237619,6098
2025-10-27,North Region,Always-on Search,4263,1015000,35891
2025-10-27,North Region,Social Retargeting,3169,754523,25867
2025-10-27,North Region,Email Re-engagement,1655,394047,9759
2025-10-27,North Region,Display Prospecting,999,237857,4909
2025-11-03,East Region,Always-on Search,4954,1179523,33647
2025-11-03,East Region,Social Retargeting,3498,832857,28739
2025-11-03,East Region,Email Re-engagement,1468,349523,11632
2025-11-03,East Region,Display Prospecting,1178,280476,8775
2025-11-03,North Region,Always-on Search,5238,1247142,34944
2025-11-03,North Region,Social Retargeting,3525,839285,24120
2025-11-03,North Region,Email Re-engagement,1660,395238,13354
2025-11-03,North Region,Display Prospecting,1142,271904,9070
2025-11-10,East Region,Always-on Search,4918,1170952,23613
2025-11-10,East Region,Social Retargeting,3230,769047,19663
2025-11-10,East Region,Email Re-engagement,1790,426190,10328
2025-11-10,East Region,Display Prospecting,1066,253809,7723
2025-11-10,North Region,Always-on Search,4629,1102142,33437
2025-11-10,North Region,Social Retargeting,3587,854047,26245
2025-11-10,North Region,Email Re-engagement,1788,425714,14922
2025-11-10,North Region,Display Prospecting,1062,252857,6168
2025-11-17,East Region,Always-on Search,5219,1242619,40398
2025-11-17,East Region,Social Retargeting,3738,890000,22077
2025-11-17,East Region,Email Re-engagement,1629,387857,11569
2025-11-17,East Region,Display Prospecting,1051,250238,6101
2025-11-17,North Region,Always-on Search,5051,1202619,36825
2025-11-17,North Region,Social Retargeting,3683,876904,27980
2025-11-17,North Region,Email Re-engagement,1627,387380,10385
2025-11-17,North Region,Display Prospecting,1031,245476,6744
2025-11-24,East Region,Always-on Search,4908,1168571,27645
2025-11-24,East Region,Social Retargeting,3562,848095,20390
2025-11-24,East Region,Email Re-engagement,1611,383571,10787
2025-11-24,East Region,Display Prospecting,1019,242619,6390
2025-11-24,North Region,Always-on Search,4755,1132142,26845
2025-11-24,North Region,Social Retargeting,3536,841904,26741
2025-11-24,North Region,Email Re-engagement,1573,374523,9386
2025-11-24,North Region,Display Prospecting,1203,286428,6457
2025-12-01,East Region,Always-on Search,5778,1375714,36999
2025-12-01,East Region,Social Retargeting,3603,857857,24680
2025-12-01,East Region,Email Re-engagement,1734,412857,11934
2025-12-01,East Region,Display Prospecting,1239,295000,7852
2025-12-01,North Region,Always-on Search,4724,1124761,35821
2025-12-01,North Region,Social Retargeting,3458,823333,24137
2025-12-01,North Region,Email Re-engagement,1934,460476,11737
2025-12-01,North Region,Display Prospecting,1183,281666,7880
2025-12-08,East Region,Always-on Search,4713,1122142,34220
2025-12-08,East Region,Social Retargeting,3687,877857,26200
2025-12-08,East Region,Email Re-engagement,1707,406428,11370
2025-12-08,East Region,Display Prospecting,1277,304047,10726
2025-12-08,North Region,Always-on Search,4891,1164523,33461
2025-12-08,North Region,Social Retargeting,3508,835238,23231
2025-12-08,North Region,Email Re-engagement,1761,419285,13191
2025-12-08,North Region,Display Prospecting,1253,298333,10617
2025-12-15,East Region,Always-on Search,5167,1230238,44176
2025-12-15,East Region,Social Retargeting,3472,826666,24881
2025-12-15,East Region,Email Re-engagement,2059,490238,12764
2025-12-15,East Region,Display Prospecting,985,234523,5805
2025-12-15,North Region,Always-on Search,5194,1236666,36477
2025-12-15,North Region,Social Retargeting,3719,885476,24271
2025-12-15,North Region,Email Re-engagement,1823,434047,12321
2025-12-15,North Region,Display Prospecting,1145,272619,7982
2025-12-22,East Region,Always-on Search,4986,1187142,35854
2025-12-22,East Region,Social Retargeting,3552,845714,27500
2025-12-22,East Region,Email Re-engagement,1730,411904,12934
2025-12-22,East Region,Display Prospecting,1238,294761,8376
2025-12-22,North Region,Always-on Search,5523,1315000,36663
2025-12-22,North Region,Social Retargeting,3748,892380,25600
2025-12-22,North Region,Email Re-engagement,1798,428095,11100
2025-12-22,North Region,Display Prospecting,1274,303333,5769
2025-12-29,East Region,Always-on Search,5197,1237380,39723
2025-12-29,East Region,Social Retargeting,3502,833809,29113
2025-12-29,East Region,Email Re-engagement,1824,434285,12465
2025-12-29,East Region,Display Prospecting,1219,290238,6357
2025-12-29,North Region,Always-on Search,5565,1325000,34332
2025-12-29,North Region,Social Retargeting,3651,869285,26024
2025-12-29,North Region,Email Re-engagement,1723,410238,11459
2025-12-29,North Region,Display Prospecting,1291,307380,7495
2026-01-05,East Region,Always-on Search,3275,779761,21821
2026-01-05,East Region,Social Retargeting,2163,515000,15688
2026-01-05,East Region,Email Re-engagement,1109,264047,7081
2026-01-05,East Region,Display Prospecting,692,164761,4854
2026-01-05,North Region,Always-on Search,3481,828809,20552
2026-01-05,North Region,Social Retargeting,2036,484761,13972
2026-01-05,North Region,Email Re-engagement,1065,253571,6126
2026-01-05,North Region,Display Prospecting,758,180476,5066
2026-01-12,East Region,Always-on Search,3270,778571,20215
2026-01-12,East Region,Social Retargeting,1983,472142,16875
2026-01-12,East Region,Email Re-engagement,1235,294047,8486
2026-01-12,East Region,Display Prospecting,687,163571,4941
2026-01-12,North Region,Always-on Search,3187,758809,18837
2026-01-12,North Region,Social Retargeting,2306,549047,13301
2026-01-12,North Region,Email Re-engagement,1004,239047,7385
2026-01-12,North Region,Display Prospecting,691,164523,3513
2026-01-19,East Region,Always-on Search,3287,782619,18542
2026-01-19,East Region,Social Retargeting,2198,523333,14239
2026-01-19,East Region,Email Re-engagement,884,210476,6621
2026-01-19,East Region,Display Prospecting,761,181190,5879
2026-01-19,North Region,Always-on Search,3442,819523,23894
2026-01-19,North Region,Social Retargeting,2262,538571,17007
2026-01-19,North Region,Email Re-engagement,1123,267380,7991
2026-01-19,North Region,Display Prospecting,742,176666,4495
2026-01-26,East Region,Always-on Search,3496,832380,18024
2026-01-26,East Region,Social Retargeting,2143,510238,12184
2026-01-26,East Region,Email Re-engagement,1005,239285,7428
2026-01-26,East Region,Display Prospecting,711,169285,5694
2026-01-26,North Region,Always-on Search,2764,658095,17389
2026-01-26,North Region,Social Retargeting,2375,565476,12625
2026-01-26,North Region,Email Re-engagement,1080,257142,5859
2026-01-26,North Region,Display Prospecting,790,188095,6283
2026-02-02,East Region,Always-on Search,3649,868809,29458
2026-02-02,East Region,Social Retargeting,2082,495714,12714
2026-02-02,East Region,Email Re-engagement,1037,246904,4948
2026-02-02,East Region,Display Prospecting,696,165714,4585
2026-02-02,North Region,Always-on Search,3747,892142,25954
2026-02-02,North Region,Social Retargeting,2324,553333,14243
2026-02-02,North Region,Email Re-engagement,1247,296904,7251
2026-02-02,North Region,Display Prospecting,881,209761,5402
2026-02-09,East Region,Always-on Search,3546,844285,25533
2026-02-09,East Region,Social Retargeting,2335,555952,16910
2026-02-09,East Region,Email Re-engagement,1036,246666,6145
2026-02-09,East Region,Display Prospecting,743,176904,4451
2026-02-09,North Region,Always-on Search,3823,910238,20956
2026-02-09,North Region,Social Retargeting,1868,444761,11656
2026-02-09,North Region,Email Re-engagement,1253,298333,11530
2026-02-09,North Region,Display Prospecting,655,155952,4039
2026-02-16,East Region,Always-on Search,3343,795952,18829
2026-02-16,East Region,Social Retargeting,2463,586428,15417
2026-02-16,East Region,Email Re-engagement,1108,263809,7356
2026-02-16,East Region,Display Prospecting,823,195952,3950
2026-02-16,North Region,Always-on Search,3765,896428,30430
2026-02-16,North Region,Social Retargeting,2389,568809,14709
2026-02-16,North Region,Email Re-engagement,1214,289047,8068
2026-02-16,North Region,Display Prospecting,734,174761,3744
2026-02-23,East Region,Always-on Search,4134,984285,28491
2026-02-23,East Region,Social Retargeting,2302,548095,17500
2026-02-23,East Region,Email Re-engagement,1223,291190,9736
2026-02-23,East Region,Display Prospecting,763,181666,5561
2026-02-23,North Region,Always-on Search,3296,784761,22787
2026-02-23,North Region,Social Retargeting,2304,548571,13466
2026-02-23,North Region,Email Re-engagement,1117,265952,5457
2026-02-23,North Region,Display Prospecting,766,182380,3744
2026-03-02,East Region,Always-on Search,3781,900238,25698
2026-03-02,East Region,Social Retargeting,2636,627619,18666
2026-03-02,East Region,Email Re-engagement,1504,358095,10153
2026-03-02,East Region,Display Prospecting,864,205714,4808
2026-03-02,North Region,Always-on Search,4215,1003571,22668
2026-03-02,North Region,Social Retargeting,2417,575476,16954
2026-03-02,North Region,Email Re-engagement,1281,305000,9358
2026-03-02,North Region,Display Prospecting,779,185476,4223
2026-03-09,East Region,Always-on Search,3790,902380,27507
2026-03-09,East Region,Social Retargeting,2476,589523,18540
2026-03-09,East Region,Email Re-engagement,1262,300476,10819
2026-03-09,East Region,Display Prospecting,811,193095,6506
2026-03-09,North Region,Always-on Search,4428,1054285,36094
2026-03-09,North Region,Social Retargeting,2352,560000,14839
2026-03-09,North Region,Email Re-engagement,1349,321190,8256
2026-03-09,North Region,Display Prospecting,798,190000,5602
2026-03-16,East Region,Always-on Search,3780,900000,21796
2026-03-16,East Region,Social Retargeting,2758,656666,19425
2026-03-16,East Region,Email Re-engagement,1192,283809,8187
2026-03-16,East Region,Display Prospecting,833,198333,6314
2026-03-16,North Region,Always-on Search,3992,950476,23315
2026-03-16,North Region,Social Retargeting,2585,615476,20195
2026-03-16,North Region,Email Re-engagement,1447,344523,8608
2026-03-16,North Region,Display Prospecting,798,190000,5904
2026-03-23,East Region,Always-on Search,3808,906666,28010
2026-03-23,East Region,Social Retargeting,2513,598333,13168
2026-03-23,East Region,Email Re-engagement,1309,311666,7328
2026-03-23,East Region,Display Prospecting,886,210952,4561
2026-03-23,North Region,Always-on Search,3796,903809,24394
2026-03-23,North Region,Social Retargeting,2485,591666,17605
2026-03-23,North Region,Email Re-engagement,1197,285000,7118
2026-03-23,North Region,Display Prospecting,839,199761,5081
2026-03-30,East Region,Always-on Search,4031,959761,27910
2026-03-30,East Region,Social Retargeting,2462,586190,15722
2026-03-30,East Region,Email Re-engagement,1241,295476,9518
2026-03-30,East Region,Display Prospecting,840,200000,6090
2026-03-30,North Region,Always-on Search,3700,880952,24634
2026-03-30,North Region,Social Retargeting,2567,611190,19658
2026-03-30,North Region,Email Re-engagement,1288,306666,9896
2026-03-30,North Region,Display Prospecting,882,210000,5334
2026-04-06,East Region,Always-on Search,4231,1007380,26585
2026-04-06,East Region,Social Retargeting,2494,593809,17069
2026-04-06,East Region,Email Re-engagement,1346,320476,10241
2026-04-06,East Region,Display Prospecting,918,218571,7911
2026-04-06,North Region,Always-on Search,4445,1058333,30679
2026-04-06,North Region,Social Retargeting,2462,586190,15902
2026-04-06,North Region,Email Re-engagement,1344,320000,8765
2026-04-06,North Region,Display Prospecting,840,200000,6687
2026-04-13,East Region,Always-on Search,4197,999285,31669
2026-04-13,East Region,Social Retargeting,2469,587857,13405
2026-04-13,East Region,Email Re-engagement,1300,309523,9600
2026-04-13,East Region,Display Prospecting,840,200000,5810
2026-04-13,North Region,Always-on Search,3921,933571,23488
2026-04-13,North Region,Social Retargeting,2438,580476,15641
2026-04-13,North Region,Email Re-engagement,1248,297142,9373
2026-04-13,North Region,Display Prospecting,940,223809,8489
2026-04-20,East Region,Always-on Search,4298,1023333,29893
2026-04-20,East Region,Social Retargeting,2447,582619,16436
2026-04-20,East Region,Email Re-engagement,1247,296904,5963
2026-04-20,East Region,Display Prospecting,984,234285,7454
2026-04-20,North Region,Always-on Search,3575,851190,21887
2026-04-20,North Region,Social Retargeting,2654,631904,18314
2026-04-20,North Region,Email Re-engagement,1343,319761,10035
2026-04-20,North Region,Display Prospecting,1000,238095,7269
2026-04-27,East Region,Always-on Search,4106,977619,24110
2026-04-27,East Region,Social Retargeting,2641,628809,13406
2026-04-27,East Region,Email Re-engagement,1361,324047,8925
2026-04-27,East Region,Display Prospecting,902,214761,5510
2026-04-27,North Region,Always-on Search,4175,994047,29197
2026-04-27,North Region,Social Retargeting,2667,635000,23098
2026-04-27,North Region,Email Re-engagement,1454,346190,9466
2026-04-27,North Region,Display Prospecting,901,214523,4020
2026-05-04,East Region,Always-on Search,4422,1052857,26616
2026-05-04,East Region,Social Retargeting,2896,689523,17194
2026-05-04,East Region,Email Re-engagement,1568,373333,8500
2026-05-04,East Region,Display Prospecting,948,225714,5632
2026-05-04,North Region,Always-on Search,4314,1027142,30248
2026-05-04,North Region,Social Retargeting,3316,789523,25200
2026-05-04,North Region,Email Re-engagement,1556,370476,11694
2026-05-04,North Region,Display Prospecting,1105,263095,6682
2026-05-11,East Region,Always-on Search,4193,998333,26958
2026-05-11,East Region,Social Retargeting,2710,645238,19727
2026-05-11,East Region,Email Re-engagement,1473,350714,11317
2026-05-11,East Region,Display Prospecting,1089,259285,6200
2026-05-11,North Region,Always-on Search,4421,1052619,27576
2026-05-11,North Region,Social Retargeting,2852,679047,21383
2026-05-11,North Region,Email Re-engagement,1473,350714,12006
2026-05-11,North Region,Display Prospecting,1026,244285,6293
2026-05-18,East Region,Always-on Search,4839,1152142,31798
2026-05-18,East Region,Social Retargeting,2915,694047,16417
2026-05-18,East Region,Email Re-engagement,1495,355952,8423
2026-05-18,East Region,Display Prospecting,922,219523,5634
2026-05-18,North Region,Always-on Search,4207,1001666,26128
2026-05-18,North Region,Social Retargeting,2806,668095,18114
2026-05-18,North Region,Email Re-engagement,1521,362142,8927
2026-05-18,North Region,Display Prospecting,959,228333,6551
2026-05-25,East Region,Always-on Search,4357,1037380,36830
2026-05-25,East Region,Social Retargeting,2949,702142,13676
2026-05-25,East Region,Email Re-engagement,1423,338809,9127
2026-05-25,East Region,Display Prospecting,960,228571,5806
2026-05-25,North Region,Always-on Search,4271,1016904,29688
2026-05-25,North Region,Social Retargeting,2818,670952,17092
2026-05-25,North Region,Email Re-engagement,1485,353571,11386
2026-05-25,North Region,Display Prospecting,1008,240000,5727
2026-06-01,East Region,Always-on Search,4855,1155952,28821
2026-06-01,East Region,Social Retargeting,3184,758095,18890
2026-06-01,East Region,Email Re-engagement,1509,359285,8603
2026-06-01,East Region,Display Prospecting,1193,284047,7689
2026-06-01,North Region,Always-on Search,4271,1016904,24499
2026-06-01,North Region,Social Retargeting,3333,793571,20392
2026-06-01,North Region,Email Re-engagement,1552,369523,11672
2026-06-01,North Region,Display Prospecting,1001,238333,7222
2026-06-08,East Region,Always-on Search,4599,1095000,26369
2026-06-08,East Region,Social Retargeting,3325,791666,21212
2026-06-08,East Region,Email Re-engagement,1500,357142,8535
2026-06-08,East Region,Display Prospecting,1164,277142,7333
2026-06-08,North Region,Always-on Search,4454,1060476,32291
2026-06-08,North Region,Social Retargeting,2635,627380,16151
2026-06-08,North Region,Email Re-engagement,1484,353333,10412
2026-06-08,North Region,Display Prospecting,968,230476,5816
2026-06-15,East Region,Always-on Search,5073,1207857,33593
2026-06-15,East Region,Social Retargeting,2831,674047,17277
2026-06-15,East Region,Email Re-engagement,1518,361428,8468
2026-06-15,East Region,Display Prospecting,1070,254761,7579
2026-06-15,North Region,Always-on Search,4664,1110476,22153
2026-06-15,North Region,Social Retargeting,3044,724761,20818
2026-06-15,North Region,Email Re-engagement,1541,366904,9550
2026-06-15,North Region,Display Prospecting,983,234047,4382
2026-06-22,East Region,Always-on Search,4716,1122857,29424
2026-06-22,East Region,Social Retargeting,3198,761428,23812
2026-06-22,East Region,Email Re-engagement,1536,365714,7479
2026-06-22,East Region,Display Prospecting,1010,240476,6762
2026-06-22,North Region,Always-on Search,4413,1050714,32429
2026-06-22,North Region,Social Retargeting,3108,740000,20896
2026-06-22,North Region,Email Re-engagement,1483,353095,9148
2026-06-22,North Region,Display Prospecting,1134,270000,6861
2026-06-29,East Region,Always-on Search,4547,1082619,35138
2026-06-29,East Region,Social Retargeting,2920,695238,18025
2026-06-29,East Region,Email Re-engagement,1478,351904,10192
2026-06-29,East Region,Display Prospecting,1188,282857,8096
2026-06-29,North Region,Always-on Search,4283,1019761,26865
2026-06-29,North Region,Social Retargeting,3186,758571,19122
2026-06-29,North Region,Email Re-engagement,1490,354761,8961
2026-06-29,North Region,Display Prospecting,1019,242619,8052
2026-07-06,East Region,Always-on Search,5035,1198809,35368
2026-07-06,East Region,Social Retargeting,3249,773571,20609
2026-07-06,East Region,Email Re-engagement,1580,376190,9596
2026-07-06,East Region,Display Prospecting,949,225952,6832
2026-07-06,North Region,Always-on Search,4487,1068333,28858
2026-07-06,North Region,Social Retargeting,3297,785000,14372
2026-07-06,North Region,Email Re-engagement,1607,382619,13129
2026-07-06,North Region,Display Prospecting,1062,252857,7287
2026-07-13,East Region,Always-on Search,4530,1078571,35826
2026-07-13,East Region,Social Retargeting,3047,725476,20880
2026-07-13,East Region,Email Re-engagement,1480,352380,10152
2026-07-13,East Region,Display Prospecting,991,235952,6626
2026-07-13,North Region,Always-on Search,4644,1105714,32228
2026-07-13,North Region,Social Retargeting,2824,672380,22273
2026-07-13,North Region,Email Re-engagement,1558,370952,12779
2026-07-13,North Region,Display Prospecting,1056,251428,6340
2026-07-20,East Region,Always-on Search,4380,1042857,25105
2026-07-20,East Region,Social Retargeting,3298,785238,21065
2026-07-20,East Region,Email Re-engagement,1480,352380,9995
2026-07-20,East Region,Display Prospecting,1079,256904,7299
2026-07-20,North Region,Always-on Search,4306,1025238,32716
2026-07-20,North Region,Social Retargeting,2880,685714,23214
2026-07-20,North Region,Email Re-engagement,1589,378333,10267
2026-07-20,North Region,Display Prospecting,997,237380,8266
2026-07-27,East Region,Always-on Search,4595,1094047,38616
2026-07-27,East Region,Social Retargeting,2774,660476,16565
2026-07-27,East Region,Email Re-engagement,1548,368571,8271
2026-07-27,East Region,Display Prospecting,1029,245000,7232
2026-07-27,North Region,Always-on Search,4575,1089285,27910
2026-07-27,North Region,Social Retargeting,2910,692857,16612
2026-07-27,North Region,Email Re-engagement,1440,342857,12228
2026-07-27,North Region,Display Prospecting,941,224047,7147
2026-08-03,East Region,Always-on Search,4447,1058809,29732
2026-08-03,East Region,Social Retargeting,2908,692380,18704
2026-08-03,East Region,Email Re-engagement,1510,359523,7775
2026-08-03,East Region,Display Prospecting,1083,257857,7802
2026-08-03,North Region,Always-on Search,4614,1098571,21932
2026-08-03,North Region,Social Retargeting,3059,728333,25295
2026-08-03,North Region,Email Re-engagement,1458,347142,11937
2026-08-03,North Region,Display Prospecting,1171,278809,8247
2026-08-10,East Region,Always-on Search,5391,1283571,38654
2026-08-10,East Region,Social Retargeting,3165,753571,21456
2026-08-10,East Region,Email Re-engagement,1655,394047,9025
2026-08-10,East Region,Display Prospecting,1125,267857,7567
2026-08-10,North Region,Always-on Search,4676,1113333,26076
2026-08-10,North Region,Social Retargeting,2762,657619,19746
2026-08-10,North Region,Email Re-engagement,1559,371190,11747
2026-08-10,North Region,Display Prospecting,1091,259761,8674
2026-08-17,East Region,Always-on Search,5170,1230952,44524
2026-08-17,East Region,Social Retargeting,3110,740476,20277
2026-08-17,East Region,Email Re-engagement,1488,354285,12014
2026-08-17,East Region,Display Prospecting,1074,255714,8912
2026-08-17,North Region,Always-on Search,4984,1186666,34924
2026-08-17,North Region,Social Retargeting,3138,747142,24352
2026-08-17,North Region,Email Re-engagement,1589,378333,12028
2026-08-17,North Region,Display Prospecting,1028,244761,6135
2026-08-24,East Region,Always-on Search,4840,1152380,30168
2026-08-24,East Region,Social Retargeting,3099,737857,26690
2026-08-24,East Region,Email Re-engagement,1686,401428,10175
2026-08-24,East Region,Display Prospecting,1062,252857,7360
2026-08-24,North Region,Always-on Search,4701,1119285,21717
2026-08-24,North Region,Social Retargeting,3691,878809,20943
2026-08-24,North Region,Email Re-engagement,1677,399285,11354
2026-08-24,North Region,Display Prospecting,1053,250714,8419
